,SEASON_ID,Player_ID,Game_ID, GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,"FG_PCT,FG3M",FG3A,"FG3_PCT,FTM",FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,GAME_DATE,FG_PCT,FG3M,FG3_PCT,FTM
0,22021,1630558,0022100427,,SAC vs. WAS,,21,4,11,,4,,0,0.0,0,1,1,3,0,1,2,2,9,-4,0,"DEC 15, 2021",0.364,1,0.25,0
1,22021,1630558,0022100406,,SAC @ TOR,L,26,3,7,,3,,0,0.0,0,4,4,6,0,0,1,1,8,-8,1,"DEC 13, 2021",0.429,2,0.667,0
2,22021,1630558,0022100393,,SAC @ CLE,L,25,6,12,,3,,0,0.0,0,1,1,5,2,0,2,1,14,15,1,"DEC 11, 2021",0.5,2,0.667,0
3,22021,1630558,0022100382,,SAC @ CHA,L,26,4,10,,5,,0,0.0,0,1,1,4,0,0,0,1,10,-1,1,"DEC 10, 2021",0.4,2,0.4,0
4,22021,1630558,0022100377,,SAC vs. ORL,W,24,7,10,,3,,4,0.75,1,2,3,4,0,0,0,1,18,1,1,"DEC 08, 2021",0.7,1,0.333,3
5,22021,1630558,0022100348,,SAC vs. LAC,W,28,1,7,,2,,0,0.0,0,2,2,3,0,0,1,3,2,-1,1,"DEC 04, 2021",0.143,0,0.0,0
6,22021,1630558,0022100327,,SAC @ LAC,W,28,7,10,,4,,3,1.0,0,3,3,2,2,0,2,2,20,8,1,"DEC 01, 2021",0.7,3,0.75,3
7,22021,1630558,0022100318,,SAC vs. LAL,L,24,3,14,,8,,0,0.0,0,1,1,2,2,0,3,2,8,-17,1,"NOV 30, 2021",0.214,2,0.25,0
8,22021,1630558,0022100303,,SAC @ MEM,L,31,5,12,,5,,0,0.0,2,2,4,6,1,1,1,3,11,-5,1,"NOV 28, 2021",0.417,1,0.2,0
9,22021,1630558,0022100291,,SAC @ LAL,W,17,2,8,,1,,0,0.0,1,2,3,0,0,0,0,0,5,-20,1,"NOV 26, 2021",0.25,1,1.0,0
10,22021,1630558,0022100279,,SAC vs. POR,W,30,6,11,,1,,6,0.667,2,0,2,3,0,0,0,4,16,-8,1,"NOV 24, 2021",0.545,0,0.0,4
11,22021,1630558,0022100262,,SAC vs. PHI,L,25,2,9,,4,,0,0.0,0,3,3,0,1,0,1,2,4,-4,1,"NOV 22, 2021",0.222,0,0.0,0
12,22021,1630558,0022100247,,SAC vs. UTA,L,16,2,8,,4,,2,0.5,1,1,2,2,0,0,1,0,6,-11,1,"NOV 20, 2021",0.25,1,0.25,1
13,22021,1630558,0022100238,,SAC vs. TOR,L,26,2,10,,5,,2,0.0,2,3,5,4,0,0,1,3,5,-13,1,"NOV 19, 2021",0.2,1,0.2,0
14,22021,1630558,0022100220,,SAC @ MIN,L,22,2,7,,5,,2,1.0,3,1,4,4,3,0,1,3,7,10,1,"NOV 17, 2021",0.286,1,0.2,2
15,22021,1630558,0022100200,,SAC @ DET,W,19,3,6,,2,,0,0.0,0,0,0,7,2,1,1,4,7,11,1,"NOV 15, 2021",0.5,1,0.5,0
16,22021,1630558,0022100180,,SAC @ OKC,L,21,2,6,,2,,0,0.0,0,2,2,2,1,0,0,0,5,-15,1,"NOV 12, 2021",0.333,1,0.5,0
17,22021,1630558,0022100166,,SAC @ SAS,L,26,6,15,,8,,0,0.0,0,3,3,6,0,0,3,3,13,-13,1,"NOV 10, 2021",0.4,1,0.125,0
18,22021,1630558,0022100153,,SAC vs. PHX,L,31,5,11,,2,,0,0.0,1,5,6,2,0,0,2,4,12,11,1,"NOV 08, 2021",0.455,2,1.0,0
19,22021,1630558,0022100143,,SAC vs. IND,L,28,1,7,,1,,0,0.0,2,1,3,6,1,1,1,2,2,6,1,"NOV 07, 2021",0.143,0,0.0,0
20,22021,1630558,0022100132,,SAC vs. CHA,W,25,6,11,,5,,3,1.0,2,2,4,4,0,0,1,4,19,15,1,"NOV 05, 2021",0.545,4,0.8,3
21,22021,1630558,0022100118,,SAC vs. NOP,W,26,6,12,,2,,0,0.0,0,2,2,8,0,0,0,2,12,12,1,"NOV 03, 2021",0.5,0,0.0,0
22,22021,1630558,0022100105,,SAC @ UTA,L,30,7,15,,7,,4,0.5,0,4,4,2,0,1,2,4,18,-1,1,"NOV 02, 2021",0.467,2,0.286,2
23,22021,1630558,0022100089,,SAC @ DAL,L,26,3,8,,3,,0,0.0,0,0,0,3,0,1,2,4,6,-2,1,"OCT 31, 2021",0.375,0,0.0,0
24,22021,1630558,0022100074,,SAC @ NOP,W,29,3,9,,7,,0,0.0,0,2,2,1,2,0,1,1,8,0,1,"OCT 29, 2021",0.333,2,0.286,0
25,22021,1630558,0022100062,,SAC @ PHX,W,19,2,7,,4,,0,0.0,0,3,3,3,0,0,0,2,5,9,1,"OCT 27, 2021",0.286,1,0.25,0
