Game_ID,MATCHUP,GAME_DATE
0021200938,MIA vs. IND,2013-03-10
0021200921,MIA vs. PHI,2013-03-08
0021200903,MIA vs. ORL,2013-03-06
0021200892,MIA @ MIN,2013-03-04
0021200880,MIA @ NYK,2013-03-03
0021200868,MIA vs. MEM,2013-03-01
0021200845,MIA vs. SAC,2013-02-26
0021200833,MIA vs. CLE,2013-02-24
0021200826,MIA @ PHI,2013-02-23
0021200809,MIA @ CHI,2013-02-21
0021200802,MIA @ ATL,2013-02-20
0021200787,MIA @ OKC,2013-02-14
0021200770,MIA vs. POR,2013-02-12
0021200753,MIA vs. LAL,2013-02-10
0021200741,MIA vs. LAC,2013-02-08
0021200726,MIA vs. HOU,2013-02-06
0021200711,MIA vs. CHA,2013-02-04
0021200707,MIA @ TOR,2013-02-03
0021200685,MIA @ IND,2013-02-01
0021200675,MIA @ BKN,2013-01-30
0021200652,MIA @ BOS,2013-01-27
0021200634,MIA vs. DET,2013-01-25
0021200619,MIA vs. TOR,2013-01-23
0021200583,MIA @ LAL,2013-01-17
0021200579,MIA @ GSW,2013-01-16
0021200561,MIA @ UTA,2013-01-14
0021200548,MIA @ SAC,2013-01-12
0021200529,MIA @ POR,2013-01-10
0021200512,MIA @ IND,2013-01-08
0021200500,MIA vs. WAS,2013-01-06
0021200481,MIA vs. CHI,2013-01-04
0021200469,MIA vs. DAL,2013-01-02
0021200454,MIA @ ORL,2012-12-31
0021200445,MIA @ MIL,2012-12-29
0021200428,MIA @ DET,2012-12-28
0021200411,MIA @ CHA,2012-12-26
0021200407,MIA vs. OKC,2012-12-25
0021200392,MIA vs. UTA,2012-12-22
0021200378,MIA @ DAL,2012-12-20
0021200359,MIA vs. MIN,2012-12-18
0021200339,MIA vs. WAS,2012-12-15
0021200314,MIA vs. GSW,2012-12-12
0021200300,MIA vs. ATL,2012-12-10
0021200286,MIA vs. NOH,2012-12-08
0021200268,MIA vs. NYK,2012-12-06
0021200252,MIA @ WAS,2012-12-04
0021200233,MIA vs. BKN,2012-12-01
0021200220,MIA vs. SAS,2012-11-29
0021200186,MIA vs. CLE,2012-11-24
0021200163,MIA vs. MIL,2012-11-21
0021200138,MIA @ PHX,2012-11-17
0021200121,MIA @ DEN,2012-11-15
0021200117,MIA @ LAC,2012-11-14
0021200099,MIA @ HOU,2012-11-12
0021200092,MIA @ MEM,2012-11-11
0021200072,MIA @ ATL,2012-11-09
0021200056,MIA vs. BKN,2012-11-07
0021200044,MIA vs. PHX,2012-11-05
0021200030,MIA vs. DEN,2012-11-03
0021200020,MIA @ NYK,2012-11-02
0021200002,MIA vs. BOS,2012-10-30
0021301192,MIA @ ATL,2014-04-12
0021301180,MIA vs. IND,2014-04-11
0021301167,MIA @ MEM,2014-04-09
0021301158,MIA vs. BKN,2014-04-08
0021301149,MIA vs. NYK,2014-04-06
0021301135,MIA vs. MIN,2014-04-04
0021301121,MIA vs. MIL,2014-04-02
0021301105,MIA vs. TOR,2014-03-31
0021301091,MIA @ MIL,2014-03-29
0021301079,MIA @ DET,2014-03-28
0021301067,MIA @ IND,2014-03-26
0021301049,MIA vs. POR,2014-03-24
0021301036,MIA @ NOP,2014-03-22
0021301027,MIA vs. MEM,2014-03-21
0021301003,MIA @ CLE,2014-03-18
0021300989,MIA vs. HOU,2014-03-16
0021300976,MIA vs. DEN,2014-03-14
0021300957,MIA vs. BKN,2014-03-12
0021300945,MIA vs. WAS,2014-03-10
0021300934,MIA @ CHI,2014-03-09
0021300914,MIA @ SAS,2014-03-06
0021300900,MIA @ HOU,2014-03-04
0021300893,MIA vs. CHA,2014-03-03
0021300874,MIA vs. ORL,2014-03-01
0021300865,MIA vs. NYK,2014-02-27
0021300813,MIA @ OKC,2014-02-20
0021300798,MIA @ DAL,2014-02-18
0021300788,MIA @ GSW,2014-02-12
0021300774,MIA @ PHX,2014-02-11
0021300755,MIA @ UTA,2014-02-08
0021300736,MIA @ LAC,2014-02-05
0021300713,MIA vs. DET,2014-02-03
0021300705,MIA @ NYK,2014-02-01
0021300675,MIA vs. OKC,2014-01-29
0021300654,MIA vs. SAS,2014-01-26
0021300631,MIA vs. LAL,2014-01-23
0021300617,MIA vs. BOS,2014-01-21
0021300612,MIA @ ATL,2014-01-20
0021300593,MIA @ CHA,2014-01-18
0021300583,MIA @ PHI,2014-01-17
0021300568,MIA @ WAS,2014-01-15
0021300537,MIA @ BKN,2014-01-10
0021300529,MIA @ NYK,2014-01-09
0021300511,MIA vs. NOP,2014-01-07
0021300500,MIA vs. TOR,2014-01-05
0021300490,MIA @ ORL,2014-01-04
0021300474,MIA vs. GSW,2014-01-02
0021300457,MIA @ DEN,2013-12-30
0021300434,MIA @ SAC,2013-12-27
0021300420,MIA @ LAL,2013-12-25
0021300411,MIA vs. ATL,2013-12-23
0021300387,MIA vs. SAC,2013-12-20
0021300369,MIA vs. IND,2013-12-18
0021300360,MIA vs. UTA,2013-12-16
0021300344,MIA vs. CLE,2013-12-14
0021300311,MIA @ IND,2013-12-10
0021300300,MIA @ DET,2013-12-08
0021300294,MIA @ MIN,2013-12-07
0021300279,MIA @ CHI,2013-12-05
0021300264,MIA vs. DET,2013-12-03
0021300252,MIA vs. CHA,2013-12-01
0021300230,MIA @ TOR,2013-11-29
0021300219,MIA @ CLE,2013-11-27
0021300205,MIA vs. PHX,2013-11-25
0021300191,MIA vs. ORL,2013-11-23
0021300164,MIA @ ORL,2013-11-20
0021300158,MIA vs. ATL,2013-11-19
0021300136,MIA @ CHA,2013-11-16
0021300130,MIA vs. DAL,2013-11-15
0021300107,MIA vs. MIL,2013-11-12
0021300089,MIA vs. BOS,2013-11-09
0021300070,MIA vs. LAC,2013-11-07
0021300051,MIA @ TOR,2013-11-05
0021300042,MIA vs. WAS,2013-11-03
0021300028,MIA @ BKN,2013-11-01
0021300005,MIA @ PHI,2013-10-30
0021300002,MIA vs. CHI,2013-10-29
0021401203,CLE vs. DET,2015-04-13
0021401178,CLE vs. BOS,2015-04-10
0021401167,CLE @ MIL,2015-04-08
0021401148,CLE vs. CHI,2015-04-05
0021401124,CLE vs. MIA,2015-04-02
0021401092,CLE vs. PHI,2015-03-29
0021401078,CLE @ BKN,2015-03-27
0021401066,CLE @ MEM,2015-03-25
0021401037,CLE @ MIL,2015-03-22
0021401023,CLE vs. IND,2015-03-20
0021401005,CLE vs. BKN,2015-03-18
0021400995,CLE @ MIA,2015-03-16
0021400985,CLE @ ORL,2015-03-15
0021400964,CLE @ SAS,2015-03-12
0021400948,CLE @ DAL,2015-03-10
0021400924,CLE vs. PHX,2015-03-07
0021400915,CLE @ ATL,2015-03-06
0021400900,CLE @ TOR,2015-03-04
0021400891,CLE vs. BOS,2015-03-03
0021400883,CLE @ HOU,2015-03-01
0021400854,CLE vs. GSW,2015-02-26
0021400839,CLE @ DET,2015-02-24
0021400821,CLE @ NYK,2015-02-22
0021400809,CLE @ WAS,2015-02-20
0021400800,CLE @ CHI,2015-02-12
0021400796,CLE vs. MIA,2015-02-11
0021400766,CLE vs. LAL,2015-02-08
0021400747,CLE @ IND,2015-02-06
0021400743,CLE vs. LAC,2015-02-05
0021400718,CLE vs. PHI,2015-02-02
0021400711,CLE @ MIN,2015-01-31
0021400700,CLE vs. SAC,2015-01-30
0021400676,CLE @ DET,2015-01-27
0021400658,CLE vs. OKC,2015-01-25
0021400643,CLE vs. CHA,2015-01-23
0021400626,CLE vs. UTA,2015-01-21
0021400620,CLE vs. CHI,2015-01-19
0021400599,CLE @ LAC,2015-01-16
0021400586,CLE @ LAL,2015-01-15
0021400570,CLE @ PHX,2015-01-13
0021400453,CLE vs. DET,2014-12-28
0021400433,CLE @ ORL,2014-12-26
0021400429,CLE @ MIA,2014-12-25
0021400416,CLE vs. MIN,2014-12-23
0021400401,CLE vs. MEM,2014-12-21
0021400386,CLE vs. BKN,2014-12-19
0021400370,CLE vs. ATL,2014-12-17
0021400355,CLE vs. CHA,2014-12-15
0021400336,CLE @ NOP,2014-12-12
0021400308,CLE vs. TOR,2014-12-09
0021400303,CLE @ BKN,2014-12-08
0021400281,CLE @ TOR,2014-12-05
0021400273,CLE @ NYK,2014-12-04
0021400253,CLE vs. MIL,2014-12-02
0021400238,CLE vs. IND,2014-11-29
0021400211,CLE vs. WAS,2014-11-26
0021400199,CLE vs. ORL,2014-11-24
0021400186,CLE vs. TOR,2014-11-22
0021400179,CLE @ WAS,2014-11-21
0021400159,CLE vs. SAS,2014-11-19
0021400147,CLE vs. DEN,2014-11-17
0021400133,CLE vs. ATL,2014-11-15
0021400125,CLE @ BOS,2014-11-14
0021400098,CLE vs. NOP,2014-11-10
0021400081,CLE @ DEN,2014-11-07
0021400066,CLE @ UTA,2014-11-05
0021400055,CLE @ POR,2014-11-04
0021400022,CLE @ CHI,2014-10-31
0021400018,CLE vs. NYK,2014-10-30
0021501203,CLE vs. ATL,2016-04-11
0021501191,CLE @ CHI,2016-04-09
0021501159,CLE @ MIL,2016-04-05
0021501144,CLE vs. CHA,2016-04-03
0021501131,CLE @ ATL,2016-04-01
0021501122,CLE vs. BKN,2016-03-31
0021501086,CLE @ NYK,2016-03-26
0021501069,CLE @ BKN,2016-03-24
0021501059,CLE vs. MIL,2016-03-23
0021501044,CLE vs. DEN,2016-03-21
0021501033,CLE @ MIA,2016-03-19
0021501020,CLE @ ORL,2016-03-18
0021500994,CLE @ UTA,2016-03-14
0021500983,CLE @ LAC,2016-03-13
0021500962,CLE @ LAL,2016-03-10
0021500957,CLE @ SAC,2016-03-09
0021500938,CLE vs. MEM,2016-03-07
0021500922,CLE vs. BOS,2016-03-05
0021500917,CLE vs. WAS,2016-03-04
0021500884,CLE vs. IND,2016-02-29
0021500864,CLE @ TOR,2016-02-26
0021500845,CLE vs. CHA,2016-02-24
0021500833,CLE vs. DET,2016-02-22
0021500824,CLE @ OKC,2016-02-21
0021500803,CLE vs. CHI,2016-02-18
0021500795,CLE vs. LAL,2016-02-10
0021500775,CLE vs. SAC,2016-02-08
0021500763,CLE vs. NOP,2016-02-06
0021500755,CLE vs. BOS,2016-02-05
0021500735,CLE @ CHA,2016-02-03
0021500721,CLE @ IND,2016-02-01
0021500713,CLE vs. SAS,2016-01-30
0021500699,CLE @ DET,2016-01-29
0021500684,CLE vs. PHX,2016-01-27
0021500667,CLE vs. MIN,2016-01-25
0021500659,CLE vs. CHI,2016-01-23
0021500640,CLE vs. LAC,2016-01-21
0021500631,CLE @ BKN,2016-01-20
0021500622,CLE vs. GSW,2016-01-18
0021500601,CLE @ HOU,2016-01-15
0021500590,CLE @ SAS,2016-01-14
0021500575,CLE @ DAL,2016-01-12
0021500559,CLE @ PHI,2016-01-10
0021500543,CLE @ MIN,2016-01-08
0021500527,CLE @ WAS,2016-01-06
0021500511,CLE vs. TOR,2016-01-04
0021500499,CLE vs. ORL,2016-01-02
0021500473,CLE @ DEN,2015-12-29
0021500466,CLE @ PHX,2015-12-28
0021500453,CLE @ POR,2015-12-26
0021500438,CLE @ GSW,2015-12-25
0021500424,CLE vs. NYK,2015-12-23
0021500405,CLE vs. PHI,2015-12-20
0021500384,CLE vs. OKC,2015-12-17
0021500367,CLE @ BOS,2015-12-15
0021500334,CLE @ ORL,2015-12-11
0021500313,CLE vs. POR,2015-12-08
0021500288,CLE @ NOP,2015-12-04
0021500262,CLE vs. WAS,2015-12-01
0021500240,CLE vs. BKN,2015-11-28
0021500227,CLE @ CHA,2015-11-27
0021500219,CLE @ TOR,2015-11-25
0021500203,CLE vs. ORL,2015-11-23
0021500191,CLE vs. ATL,2015-11-21
0021500176,CLE vs. MIL,2015-11-19
0021500160,CLE @ DET,2015-11-17
0021500141,CLE @ MIL,2015-11-14
0021500130,CLE @ NYK,2015-11-13
0021500106,CLE vs. UTA,2015-11-10
0021500094,CLE vs. IND,2015-11-08
0021500078,CLE vs. PHI,2015-11-06
0021500063,CLE vs. NYK,2015-11-04
0021500046,CLE @ PHI,2015-11-02
0021500021,CLE vs. MIA,2015-10-30
0021500011,CLE @ MEM,2015-10-28
0021500002,CLE @ CHI,2015-10-27
0021601197,CLE @ ATL,2017-04-09
0021601179,CLE vs. ATL,2017-04-07
0021601169,CLE @ BOS,2017-04-05
0021601156,CLE vs. ORL,2017-04-04
0021601150,CLE vs. IND,2017-04-02
0021601128,CLE vs. PHI,2017-03-31
0021601122,CLE @ CHI,2017-03-30
0021601099,CLE @ SAS,2017-03-27
0021601083,CLE vs. WAS,2017-03-25
0021601073,CLE @ CHA,2017-03-24
0021601064,CLE @ DEN,2017-03-22
0021601043,CLE @ LAL,2017-03-19
0021601014,CLE vs. UTA,2017-03-16
0021600999,CLE vs. DET,2017-03-14
0021600989,CLE @ HOU,2017-03-12
0021600977,CLE @ ORL,2017-03-11
0021600960,CLE @ DET,2017-03-09
0021600936,CLE vs. MIA,2017-03-06
0021600913,CLE @ ATL,2017-03-03
0021600901,CLE @ BOS,2017-03-01
0021600884,CLE vs. MIL,2017-02-27
0021600853,CLE vs. NYK,2017-02-23
0021600835,CLE vs. IND,2017-02-15
0021600832,CLE @ MIN,2017-02-14
0021600811,CLE vs. DEN,2017-02-11
0021600796,CLE @ OKC,2017-02-09
0021600783,CLE @ IND,2017-02-08
0021600769,CLE @ WAS,2017-02-06
0021600759,CLE @ NYK,2017-02-04
0021600731,CLE vs. MIN,2017-02-01
0021600722,CLE @ DAL,2017-01-30
0021600712,CLE vs. OKC,2017-01-29
0021600695,CLE vs. BKN,2017-01-27
0021600680,CLE vs. SAC,2017-01-25
0021600671,CLE @ NOP,2017-01-23
0021600657,CLE vs. SAS,2017-01-21
0021600636,CLE vs. PHX,2017-01-19
0021600619,CLE @ GSW,2017-01-16
0021600599,CLE @ SAC,2017-01-13
0021600585,CLE @ POR,2017-01-11
0021600576,CLE @ UTA,2017-01-10
0021600565,CLE @ PHX,2017-01-08
0021600547,CLE @ BKN,2017-01-06
0021600532,CLE vs. CHI,2017-01-04
0021600514,CLE vs. NOP,2017-01-02
0021600505,CLE @ CHA,2016-12-31
0021600488,CLE vs. BOS,2016-12-29
0021600457,CLE vs. GSW,2016-12-25
0021600444,CLE vs. BKN,2016-12-23
0021600429,CLE vs. MIL,2016-12-21
0021600423,CLE @ MIL,2016-12-20
0021600402,CLE vs. LAL,2016-12-17
0021600368,CLE vs. MEM,2016-12-13
0021600349,CLE vs. CHA,2016-12-10
0021600338,CLE vs. MIA,2016-12-09
0021600327,CLE @ NYK,2016-12-07
0021600305,CLE @ TOR,2016-12-05
0021600286,CLE @ CHI,2016-12-02
0021600279,CLE vs. LAC,2016-12-01
0021600262,CLE @ MIL,2016-11-29
0021600245,CLE @ PHI,2016-11-27
0021600227,CLE vs. DAL,2016-11-25
0021600215,CLE vs. POR,2016-11-23
0021600175,CLE vs. DET,2016-11-18
0021600153,CLE vs. TOR,2016-11-15
0021600140,CLE vs. CHA,2016-11-13
0021600122,CLE @ WAS,2016-11-11
0021600100,CLE vs. ATL,2016-11-08
0021600080,CLE @ PHI,2016-11-05
0021600068,CLE vs. BOS,2016-11-03
0021600047,CLE vs. HOU,2016-11-01
0021600029,CLE vs. ORL,2016-10-29
0021600018,CLE @ TOR,2016-10-28
0021600001,CLE vs. NYK,2016-10-25
0021701220,CLE vs. NYK,2018-04-11
0021701207,CLE @ NYK,2018-04-09
0021701183,CLE @ PHI,2018-04-06
0021701176,CLE vs. WAS,2018-04-05
0021701156,CLE vs. TOR,2018-04-03
0021701149,CLE vs. DAL,2018-04-01
0021701131,CLE vs. NOP,2018-03-30
0021701116,CLE @ CHA,2018-03-28
0021701110,CLE @ MIA,2018-03-27
0021701094,CLE @ BKN,2018-03-25
0021701080,CLE vs. PHX,2018-03-23
0021701065,CLE vs. TOR,2018-03-21
0021701050,CLE vs. MIL,2018-03-19
0021701039,CLE @ CHI,2018-03-17
0021701028,CLE @ POR,2018-03-15
0021701014,CLE @ PHX,2018-03-13
0021701000,CLE @ LAL,2018-03-11
0021700986,CLE @ LAC,2018-03-09
0021700970,CLE @ DEN,2018-03-07
0021700950,CLE vs. DET,2018-03-05
0021700937,CLE vs. DEN,2018-03-03
0021700923,CLE vs. PHI,2018-03-01
0021700908,CLE vs. BKN,2018-02-27
0021700894,CLE vs. SAS,2018-02-25
0021700878,CLE @ MEM,2018-02-23
0021700869,CLE vs. WAS,2018-02-22
0021700850,CLE @ OKC,2018-02-13
0021700835,CLE @ BOS,2018-02-11
0021700819,CLE @ ATL,2018-02-09
0021700807,CLE vs. MIN,2018-02-07
0021700797,CLE @ ORL,2018-02-06
0021700779,CLE vs. HOU,2018-02-03
0021700757,CLE vs. MIA,2018-01-31
0021700747,CLE @ DET,2018-01-30
0021700734,CLE vs. DET,2018-01-28
0021700715,CLE vs. IND,2018-01-26
0021700698,CLE @ SAS,2018-01-23
0021700674,CLE vs. OKC,2018-01-20
0021700664,CLE vs. ORL,2018-01-18
0021700646,CLE vs. GSW,2018-01-15
0021700619,CLE @ IND,2018-01-12
0021700615,CLE @ TOR,2018-01-11
0021700594,CLE @ MIN,2018-01-08
0021700582,CLE @ ORL,2018-01-06
0021700559,CLE @ BOS,2018-01-03
0021700549,CLE vs. POR,2018-01-02
0021700534,CLE @ UTA,2017-12-30
0021700513,CLE @ SAC,2017-12-27
0021700494,CLE @ GSW,2017-12-25
0021700466,CLE vs. CHI,2017-12-21
0021700453,CLE @ MIL,2017-12-19
0021700440,CLE @ WAS,2017-12-17
0021700430,CLE vs. UTA,2017-12-16
0021700415,CLE vs. LAL,2017-12-14
0021700397,CLE vs. ATL,2017-12-12
0021700379,CLE vs. PHI,2017-12-09
0021700369,CLE @ IND,2017-12-08
0021700353,CLE vs. SAC,2017-12-06
0021700344,CLE @ CHI,2017-12-04
0021700329,CLE vs. MEM,2017-12-02
0021700313,CLE @ ATL,2017-11-30
0021700298,CLE vs. MIA,2017-11-28
0021700291,CLE @ PHI,2017-11-27
0021700270,CLE vs. CHA,2017-11-24
0021700254,CLE vs. BKN,2017-11-22
0021700242,CLE @ DET,2017-11-20
0021700220,CLE vs. LAC,2017-11-17
0021700207,CLE @ CHA,2017-11-15
0021700193,CLE @ NYK,2017-11-13
0021700181,CLE @ DAL,2017-11-11
0021700166,CLE @ HOU,2017-11-09
0021700149,CLE vs. MIL,2017-11-07
0021700136,CLE vs. ATL,2017-11-05
0021700122,CLE @ WAS,2017-11-03
0021700106,CLE vs. IND,2017-11-01
0021700090,CLE vs. NYK,2017-10-29
0021700077,CLE @ NOP,2017-10-28
0021700058,CLE @ BKN,2017-10-25
0021700049,CLE vs. CHI,2017-10-24
0021700028,CLE vs. ORL,2017-10-21
0021700021,CLE @ MIL,2017-10-20
0021700001,CLE vs. BOS,2017-10-17
0021801135,LAL vs. CHA,2019-03-29
0021801116,LAL vs. WAS,2019-03-26
0021801102,LAL vs. SAC,2019-03-24
0021801086,LAL vs. BKN,2019-03-22
0021801042,LAL @ NYK,2019-03-17
0021801023,LAL @ TOR,2019-03-14
0021801009,LAL @ CHI,2019-03-12
0021800989,LAL vs. BOS,2019-03-09
0021800974,LAL vs. DEN,2019-03-06
0021800958,LAL vs. LAC,2019-03-04
0021800942,LAL @ PHX,2019-03-02
0021800934,LAL vs. MIL,2019-03-01
0021800921,LAL vs. NOP,2019-02-27
0021800904,LAL @ MEM,2019-02-25
0021800887,LAL @ NOP,2019-02-23
0021800872,LAL vs. HOU,2019-02-21
0021800848,LAL @ ATL,2019-02-12
0021800835,LAL @ PHI,2019-02-10
0021800814,LAL @ BOS,2019-02-07
0021800798,LAL @ IND,2019-02-05
0021800769,LAL @ LAC,2019-01-31
0021800500,LAL @ GSW,2018-12-25
0021800496,LAL vs. MEM,2018-12-23
0021800478,LAL vs. NOP,2018-12-21
0021800453,LAL @ BKN,2018-12-18
0021800439,LAL @ WAS,2018-12-16
0021800430,LAL @ CHA,2018-12-15
0021800416,LAL @ HOU,2018-12-13
0021800401,LAL vs. MIA,2018-12-10
0021800384,LAL @ MEM,2018-12-08
0021800375,LAL @ SAS,2018-12-07
0021800364,LAL vs. SAS,2018-12-05
0021800337,LAL vs. PHX,2018-12-02
0021800328,LAL vs. DAL,2018-11-30
0021800317,LAL vs. IND,2018-11-29
0021800304,LAL @ DEN,2018-11-27
0021800286,LAL vs. ORL,2018-11-25
0021800278,LAL vs. UTA,2018-11-23
0021800256,LAL @ CLE,2018-11-21
0021800235,LAL @ MIA,2018-11-18
0021800227,LAL @ ORL,2018-11-17
0021800212,LAL vs. POR,2018-11-14
0021800189,LAL vs. ATL,2018-11-11
0021800183,LAL @ SAC,2018-11-10
0021800162,LAL vs. MIN,2018-11-07
0021800139,LAL vs. TOR,2018-11-04
0021800132,LAL @ POR,2018-11-03
0021800109,LAL vs. DAL,2018-10-31
0021800093,LAL @ MIN,2018-10-29
0021800082,LAL @ SAS,2018-10-27
0021800066,LAL vs. DEN,2018-10-25
0021800060,LAL @ PHX,2018-10-24
0021800048,LAL vs. SAS,2018-10-22
0021800035,LAL vs. HOU,2018-10-20
0021800016,LAL @ POR,2018-10-18
0021901310,LAL vs. SAC,2020-08-13
0021901296,LAL vs. DEN,2020-08-10
0021901282,LAL @ IND,2020-08-08
0021901265,LAL vs. OKC,2020-08-05
0021901255,LAL @ UTA,2020-08-03
0021901243,LAL @ TOR,2020-08-01
0021901232,LAL vs. LAC,2020-07-30
0021900968,LAL vs. BKN,2020-03-10
0021900948,LAL @ LAC,2020-03-08
0021900939,LAL vs. MIL,2020-03-06
0021900915,LAL vs. PHI,2020-03-03
0021900900,LAL @ NOP,2020-03-01
0021900891,LAL @ MEM,2020-02-29
0021900861,LAL vs. NOP,2020-02-25
0021900842,LAL vs. BOS,2020-02-23
0021900833,LAL vs. MEM,2020-02-21
0021900817,LAL @ DEN,2020-02-12
0021900801,LAL vs. PHX,2020-02-10
0021900783,LAL @ GSW,2020-02-08
0021900768,LAL vs. HOU,2020-02-06
0021900754,LAL vs. SAS,2020-02-04
0021900736,LAL @ SAC,2020-02-01
0021900726,LAL vs. POR,2020-01-31
0021900684,LAL @ PHI,2020-01-25
0021900667,LAL @ BKN,2020-01-23
0021900659,LAL @ NYK,2020-01-22
0021900648,LAL @ BOS,2020-01-20
0021900633,LAL @ HOU,2020-01-18
0021900613,LAL vs. ORL,2020-01-15
0021900597,LAL vs. CLE,2020-01-13
0021900572,LAL @ DAL,2020-01-10
0021900553,LAL vs. NYK,2020-01-07
0021900538,LAL vs. DET,2020-01-05
0021900522,LAL vs. NOP,2020-01-03
0021900507,LAL vs. PHX,2020-01-01
0021900490,LAL vs. DAL,2019-12-29
0021900484,LAL @ POR,2019-12-28
0021900458,LAL vs. LAC,2019-12-25
0021900417,LAL @ MIL,2019-12-19
0021900402,LAL @ IND,2019-12-17
0021900390,LAL @ ATL,2019-12-15
0021900374,LAL @ MIA,2019-12-13
0021900358,LAL @ ORL,2019-12-11
0021900342,LAL vs. MIN,2019-12-08
0021900329,LAL @ POR,2019-12-06
0021900314,LAL @ UTA,2019-12-04
0021900304,LAL @ DEN,2019-12-03
0021900287,LAL vs. DAL,2019-12-01
0021900279,LAL vs. WAS,2019-11-29
0021900264,LAL @ NOP,2019-11-27
0021900249,LAL @ SAS,2019-11-25
0021900232,LAL @ MEM,2019-11-23
0021900220,LAL @ OKC,2019-11-22
0021900201,LAL vs. OKC,2019-11-19
0021900188,LAL vs. ATL,2019-11-17
0021900174,LAL vs. SAC,2019-11-15
0021900159,LAL vs. GSW,2019-11-13
0021900151,LAL @ PHX,2019-11-12
0021900139,LAL vs. TOR,2019-11-10
0021900126,LAL vs. MIA,2019-11-08
0021900100,LAL @ CHI,2019-11-05
0021900088,LAL @ SAS,2019-11-03
0021900074,LAL @ DAL,2019-11-01
0021900054,LAL vs. MEM,2019-10-29
0021900040,LAL vs. CHA,2019-10-27
0021900025,LAL vs. UTA,2019-10-25
0021900002,LAL @ LAC,2019-10-22
0022001072,LAL @ NOP,2021-05-16
0022001061,LAL @ IND,2021-05-15
0022000974,LAL vs. TOR,2021-05-02
0022000956,LAL vs. SAC,2021-04-30
0022000640,LAL vs. ATL,2021-03-20
0022000630,LAL vs. CHA,2021-03-18
0022000615,LAL vs. MIN,2021-03-16
0022000608,LAL @ GSW,2021-03-15
0022000585,LAL vs. IND,2021-03-12
0022000542,LAL vs. PHX,2021-03-02
0022000527,LAL vs. GSW,2021-02-28
0022000512,LAL vs. POR,2021-02-26
0022000497,LAL @ UTA,2021-02-24
0022000479,LAL vs. WAS,2021-02-22
0022000463,LAL vs. MIA,2021-02-20
0022000446,LAL vs. BKN,2021-02-18
0022000431,LAL @ MIN,2021-02-16
0022000416,LAL @ DEN,2021-02-14
0022000403,LAL vs. MEM,2021-02-12
0022000390,LAL vs. OKC,2021-02-10
0022000374,LAL vs. OKC,2021-02-08
0022000361,LAL vs. DET,2021-02-06
0022000341,LAL vs. DEN,2021-02-04
